Idade;Homens;Mulheres
Menos de 1 ano;36368;36618
1 a 4 anos;151798;146582
5 a 9 anos;195995;188287
10 a 14 anos;203418;197279
15 a 19 anos;182546;182215
20 a 24 anos;170242;169198
25 a 29 anos;161273;162253
30 a 34 anos;142710;143038
35 a 39 anos;116794;115961
40 a 44 anos;98058;93727
45 a 49 anos;80209;77188
50 a 54 anos;64117;61295
55 a 59 anos;47832;48812
60 a 64 anos;35546;35018
65 a 69 anos;24907;25659
70 a 74 anos;17698;18746
75 a 79 anos;11799;13293
80 a 84 anos;6812;8358
85 a 89 anos;3002;4083
90 a 94 anos;1478;2072
95 a 99 anos;468;972
100 anos ou mais;108;155
