Idade;Homens;Mulheres;TEM_m;TEM_f
Menos de 1 ano;654.2;553.1;0.017988341399032118;0.01510459336938118
1 a 4 anos;256.1;188.0;0.0016871105021146525;0.0012825585679005608
5 a 9 anos;108.0;80.0;0.0005510344651649277;0.00042488328987131345
10 a 14 anos;105.0;81.0;0.0005161785092764652;0.0004105860228407484
15 a 19 anos;350.1;147.0;0.001917872755360293;0.0008067392914963093
20 a 24 anos;475.1;140.0;0.002790733191574347;0.0008274329483800045
25 a 29 anos;455.1;144.0;0.0028219230745382055;0.0008875028504865858
30 a 34 anos;380.1;160.0;0.0026634433466470467;0.0011185838728170136
35 a 39 anos;345.1;184.0;0.002954775074062024;0.001586740369607023
40 a 44 anos;329.1;207.0;0.003356176956495136;0.002208541828928697
45 a 49 anos;351.1;229.0;0.0043773142664788245;0.0029667824014095456
50 a 54 anos;414.1;287.0;0.006458505544551367;0.0046822742474916385
55 a 59 anos;468.1;309.1;0.009786335507609968;0.006332459231336557
60 a 64 anos;557.1;359.1;0.015672649524559726;0.010254726140841854
65 a 69 anos;525.1;428.1;0.021082426627052637;0.016684204372734712
70 a 74 anos;661.2;478.1;0.03736015368968245;0.025504107542942495
75 a 79 anos;673.2;467.1;0.057055682684973304;0.03513879485443467
80 a 84 anos;500.1;522.1;0.07341456253669995;0.06246709739172051
85 a 89 anos;420.1;452.1;0.1399400399733511;0.11072740631888318
90 a 94 anos;180.0;240.0;0.12178619756427606;0.11583011583011583
95 a 99 anos;100.0;198.0;0.21367521367521367;0.2037037037037037
100 anos ou mais;32.0;76.0;0.2962962962962963;0.49032258064516127
